DHSID,DHSYEAR,DHSCLUST,LATNUM,LONGNUM,Mean_BMI,Median_BMI,Unmet_Need_Rate,Under5_Mortality_Rate,Skilled_Birth_Attendant_Rate,Stunted_Rate,URBAN_RURA
AL200800000001,2008,1,40.822652,19.838321,24.12,25.28,50,9.68,100,20,R
AL200800000002,2008,2,40.696846,20.007555,23.04,21.98,7.69,8.33,66.67,0,R
AL200800000004,2008,4,40.798931,19.863338,26.74,26.57,7.69,2.86,100,0,R
AL200800000006,2008,6,40.711349,19.935309,27.58,28.08,0,9.52,NaN,0,U
AL200800000010,2008,10,40.698522,19.9503,24.23,23.77,20,23.81,50,0,U
AL200800000011,2008,11,40.717969,19.935874,25.09,26.25,7.69,3.45,50,0,U
AL200800000012,2008,12,40.711304,19.937764,26.3,25.83,0,5,100,0,U
AL200800000013,2008,13,40.723283,19.945518,24.99,25.16,10,0,100,0,U
AL200800000015,2008,15,40.710037,19.974657,26.02,27.16,0,10,100,0,U
AL200800000016,2008,16,41.491808,20.192569,25.79,24.47,10,3.23,83.33,0,R
AL200800000017,2008,17,41.538256,20.274292,22.97,22.16,0,12.96,100,50,R
AL200800000020,2008,20,41.430779,20.447701,24.09,23.39,0,0,80,0,R
AL200800000021,2008,21,41.610799,20.35565,24.01,23.86,0,28.77,90,14.29,R
AL200800000023,2008,23,41.422539,20.349194,23.3,23.38,0,0,100,25,R
AL200800000024,2008,24,41.481501,20.321186,24.48,23.82,18.18,7.14,75,0,R
AL200800000027,2008,27,41.473699,20.21175,24.35,22.17,0,4.76,NaN,NaN,U
AL200800000028,2008,28,41.497487,20.212555,26.69,26.12,5.88,2.33,100,0,U
AL200800000029,2008,29,41.503124,20.224259,24.31,23.82,0,13.89,66.67,0,U
AL200800000030,2008,30,41.502155,20.21431,23.02,22.48,18.18,6.45,100,0,U
AL200800000031,2008,31,41.487536,20.198375,24.56,25.4,9.09,0,60,0,U
AL200800000034,2008,34,39.962542,20.090978,25.33,23.2,55.56,0,66.67,0,U
AL200800000036,2008,36,40.642326,20.956264,24.18,24.45,0,0,100,0,R
AL200800000037,2008,37,41.739594,20.292045,24.46,24.58,11.11,0,100,16.67,R
AL200800000038,2008,38,41.765525,20.381548,23.74,23.9,0,3.57,100,0,R
AL200800000039,2008,39,41.863853,20.411634,23.54,22.43,25,6.45,83.33,33.33,R
AL200800000041,2008,41,41.720972,20.425149,23.9,23.08,33.33,0,66.67,66.67,R
AL200800000042,2008,42,41.570425,20.457967,24.25,24.49,25,9.68,66.67,9.09,R
AL200800000043,2008,43,41.598277,20.463222,23.39,23.62,18.18,11.32,100,60,R
AL200800000044,2008,44,41.586473,20.497562,24.7,24.78,14.29,4.76,70,0,R
AL200800000046,2008,46,41.628874,20.377388,25.56,24.85,15.38,7.5,87.5,36.36,R
AL200800000047,2008,47,41.69731,20.255831,24.22,24.22,0,0,100,0,R
AL200800000048,2008,48,41.717652,20.444165,24.49,24.76,16.67,3.45,66.67,0,R
AL200800000049,2008,49,41.672135,20.434907,22.91,22.82,10,16.22,28.57,16.67,R
AL200800000050,2008,50,41.688074,20.391118,23.45,22.71,9.09,10,33.33,20,R
AL200800000051,2008,51,41.648642,20.236266,24.12,23.55,0,4.44,66.67,0,R
AL200800000053,2008,53,41.78773,20.334262,23.85,23.66,0,2.17,100,42.86,R
AL200800000054,2008,54,41.616267,20.326635,24.51,24.38,7.14,3.85,77.78,50,R
AL200800000055,2008,55,41.683106,20.425336,25.14,23,7.69,0,50,33.33,U
AL200800000057,2008,57,41.696015,20.436156,21.62,20.81,0,0,100,NaN,U
AL200800000059,2008,59,41.680316,20.419498,23.39,23.2,0,7.69,100,0,U
AL200800000060,2008,60,41.697675,20.428769,23.57,23.48,7.69,0,66.67,0,U
AL200800000062,2008,62,41.681731,20.436389,23.33,23.26,9.09,0,100,50,U
AL200800000064,2008,64,41.670375,20.426391,23.3,24.61,9.09,0,100,0,U
AL200800000065,2008,65,41.33076,19.579645,24.08,24.35,33.33,0,71.43,71.43,R
AL200800000066,2008,66,41.517644,19.580992,22.8,22.22,22.22,0,100,50,R
AL200800000067,2008,67,41.401711,19.489925,24.22,23.66,21.43,0,80,11.11,R
AL200800000068,2008,68,41.464268,19.581386,24.26,24.26,0,4.88,100,0,R
AL200800000069,2008,69,41.323189,19.500935,25.2,24.95,7.14,2.44,100,16.67,R
AL200800000070,2008,70,41.298861,19.505093,24.59,24.44,23.08,0,100,50,R
AL200800000071,2008,71,41.443498,19.536758,22.59,22,16.67,12.24,80,28.57,R
AL200800000074,2008,74,41.322189,19.473723,25.79,25.69,21.74,1.61,90.91,45.45,U
AL200800000075,2008,75,41.316836,19.476893,24.42,24.98,20,3.85,100,0,U
AL200800000076,2008,76,41.326584,19.464029,25.02,24.79,41.18,2.33,100,0,U
AL200800000077,2008,77,41.327994,19.476446,25.51,24.85,13.33,0,75,25,U
AL200800000078,2008,78,41.339606,19.433554,26.64,26.62,37.5,0,NaN,NaN,U
AL200800000079,2008,79,41.322855,19.452828,24.92,24.22,33.33,0,80,20,U
AL200800000080,2008,80,41.318022,19.461704,26.37,26.5,11.11,0,100,NaN,U
AL200800000081,2008,81,41.316313,19.433187,25.26,25.42,28.57,0,50,0,U
AL200800000082,2008,82,41.323292,19.438223,26.16,26.45,33.33,4.35,100,0,U
AL200800000083,2008,83,41.446214,19.603664,25.74,26.06,14.29,0,100,25,U
AL200800000084,2008,84,41.340681,19.552817,23.46,23.23,8.33,0,100,0,U
AL200800000087,2008,87,40.91956304,19.82090766,24.41,22.25,0,6.67,NaN,NaN,R
AL200800000088,2008,88,40.970455,19.979366,27.02,25.33,7.69,17.14,100,0,R
AL200800000090,2008,90,41.166033,20.12247,24.56,24.36,5.56,4.92,71.43,60,R
AL200800000092,2008,92,41.031718,19.91424,24.95,24.87,7.14,2.38,100,50,R
AL200800000093,2008,93,41.103846,20.140431,24.16,23.24,0,9.38,100,0,R
AL200800000094,2008,94,41.031394,19.970297,28,24.78,0,0,100,33.33,U
AL200800000095,2008,95,41.098359,20.062172,26.03,27.02,7.14,3.23,50,0,U
AL200800000097,2008,97,41.095595,20.078719,26.71,25.73,16.67,0,100,0,U
AL200800000100,2008,100,41.112827,20.113423,25.02,24.16,12.5,0,100,0,U
AL200800000102,2008,102,41.107213,20.076463,24.27,23.64,11.11,9.09,100,0,U
AL200800000103,2008,103,41.114331,20.06936,27.03,27.37,0,0,100,25,U
AL200800000104,2008,104,41.113391,20.080656,26.99,25.03,0,13.64,100,0,U
AL200800000106,2008,106,40.572031,19.657091,23.38,23.7,50,9.3,100,0,R
AL200800000107,2008,107,40.735403,19.483347,22.97,23.08,33.33,8.33,75,0,R
AL200800000108,2008,108,40.67899,19.49058,23.91,21.48,27.27,2.86,85.71,0,R
AL200800000109,2008,109,40.742882,19.671396,24.8,23.85,33.33,3.85,100,0,R
AL200800000110,2008,110,40.6862149,19.79982432,25.16,23.62,87.5,5.41,0,0,R
AL200800000111,2008,111,40.729965,19.569688,26.47,26.2,30,0,100,0,R
AL200800000112,2008,112,40.807737,19.562051,25.03,24.19,10,0,100,0,R
AL200800000113,2008,113,40.78863,19.615584,25.99,25.52,25,0,100,0,R
AL200800000117,2008,117,40.764994,19.747691,25.25,24.21,75,8.16,60,50,R
AL200800000118,2008,118,40.742302,19.4329,24.39,23.83,0,9.68,33.33,0,R
AL200800000119,2008,119,40.715702,19.53449,28.11,27.39,12.5,0,60,40,U
AL200800000121,2008,121,40.720624,19.577957,24.14,23.47,18.18,4.76,100,0,U
AL200800000122,2008,122,40.744906,19.569765,24.04,22.34,22.22,15.79,100,0,U
AL200800000123,2008,123,40.719689,19.549052,26.38,25.14,16.67,0,NaN,NaN,U
AL200800000124,2008,124,40.725969,19.572351,25.48,25.57,0,0,100,100,U
AL200800000125,2008,125,40.730248,19.568112,24.88,24.51,0,6.67,100,NaN,U
AL200800000126,2008,126,40.724063,19.551914,24.32,24.86,12.5,0,100,NaN,U
AL200800000127,2008,127,40.732527,19.545404,25.95,26.07,12.5,17.65,100,100,U
AL200800000128,2008,128,40.728557,19.56754,24.22,23.86,0,14.29,50,100,U
AL200800000129,2008,129,40.684194,19.623509,24.08,23.94,0,0,NaN,NaN,U
AL200800000130,2008,130,40.674696,19.616924,24.27,23.56,16.67,5.56,100,50,U
AL200800000131,2008,131,40.738469,19.723369,25.44,24.19,10,3.85,100,100,U
AL200800000133,2008,133,40.13414,20.10725,23.46,21.92,62.5,0,33.33,33.33,R
AL200800000136,2008,136,40.793203,20.327734,24.61,22.24,20,9.76,80,0,R
AL200800000138,2008,138,40.950585,20.15515,24.5,23.23,36.36,6,85.71,12.5,R
AL200800000139,2008,139,40.881853,20.259662,23.94,23.78,33.33,2,85.71,40,R
AL200800000140,2008,140,40.753633,20.270504,24.05,23.01,23.08,0,100,0,R
AL200800000141,2008,141,40.90218,20.355311,23.77,22.47,64.29,4.44,90,50,R
AL200800000143,2008,143,40.87209,20.185926,24.18,23.04,33.33,9.09,60,25,U
AL200800000145,2008,145,40.852811,20.180499,26.08,24.31,9.09,8.57,100,0,U
AL200800000146,2008,146,40.860529,20.19111,23.3,22.79,40,13.04,100,66.67,U
AL200800000147,2008,147,40.853582,20.18431,24.65,24.08,7.14,0,100,0,U
AL200800000148,2008,148,40.854437,20.199351,23.68,23.21,7.14,8.33,100,0,U
AL200800000149,2008,149,40.853199,20.185923,25.04,25.32,0,7.5,100,25,U
AL200800000150,2008,150,42.162683,20.383164,23.36,22.36,20,3.9,100,0,R
AL200800000151,2008,151,42.184798,20.397091,23.15,22.72,16.67,3.85,100,50,R
AL200800000152,2008,152,42.147363,20.394346,23.68,22.51,12.5,9.76,100,100,R
AL200800000153,2008,153,42.201536,20.392315,22.91,22.4,33.33,6.9,100,80,R
AL200800000154,2008,154,42.197338,20.398472,24.16,24.44,8.33,2.5,100,33.33,U
AL200800000155,2008,155,42.192467,20.414906,24.5,23.42,8.33,4.08,80,11.11,U
AL200800000158,2008,158,41.103659,19.488327,23.77,23.26,38.46,0,50,0,R
AL200800000160,2008,160,41.118525,19.608734,24.96,25.58,0,0,NaN,NaN,R
AL200800000162,2008,162,41.201745,19.539072,23.75,23.28,8.33,0,75,75,U
AL200800000163,2008,163,41.179262,19.566889,22.87,23.64,0,0,100,100,U
AL200800000164,2008,164,41.186778,19.540225,23.44,23.18,0,0,NaN,NaN,U
AL200800000165,2008,165,41.176042,19.551726,24.45,23,14.29,0,100,0,U
AL200800000167,2008,167,40.340664,20.669775,23.1,23.17,0,0,NaN,NaN,U
AL200800000168,2008,168,40.689654,20.728814,23.9,23.57,12.5,0,NaN,NaN,R
AL200800000169,2008,169,40.771737,20.904882,23.14,23.74,14.29,0,100,NaN,R
AL200800000170,2008,170,40.743836,20.695333,21.63,21.85,12.5,0,66.67,0,R
AL200800000171,2008,171,40.663443,20.780217,21.59,21.14,20,0,100,0,R
AL200800000172,2008,172,40.477401,20.654243,20.35,20.05,0,10.34,100,0,R
AL200800000173,2008,173,40.792022,20.815239,22.85,21.28,14.29,4.88,100,NaN,R
AL200800000175,2008,175,40.617101,20.767261,22.45,23.13,0,0,NaN,NaN,U
AL200800000176,2008,176,40.606246,20.774674,22.64,21.67,0,5.56,100,0,U
AL200800000177,2008,177,40.609528,20.774174,23.59,24,0,0,NaN,NaN,U
AL200800000178,2008,178,40.6261,20.782306,23.92,23.64,0,7.69,50,NaN,U
AL200800000179,2008,179,40.617159,20.782163,23.96,23,0,0,100,100,U
AL200800000180,2008,180,40.624607,20.780445,22.89,22.36,0,4.76,33.33,0,U
AL200800000181,2008,181,40.631597,20.787908,23.16,23.72,0,4.35,NaN,NaN,U
AL200800000183,2008,183,40.601231,20.780877,23.38,23.62,0,0,100,0,U
AL200800000184,2008,184,40.689824,20.700616,26.81,27.96,0,0,100,50,U
AL200800000186,2008,186,41.547124,19.724858,25.78,25.32,0,6.25,100,0,R
AL200800000188,2008,188,41.468367,19.717558,25.05,24.83,9.09,0,100,33.33,U
AL200800000189,2008,189,41.520834,19.775902,23.5,23.44,18.18,3.85,55.56,33.33,U
AL200800000191,2008,191,40.762223,19.930615,23.7,23.09,0,6.25,100,100,R
AL200800000192,2008,192,40.795886,19.905892,26.46,27.05,0,0,100,NaN,U
AL200800000193,2008,193,40.820478,19.91008,25.17,24.57,0,0,NaN,NaN,U
AL200800000194,2008,194,41.95966,20.365188,24.17,22.74,33.33,18.87,100,25,R
AL200800000196,2008,196,42.051202,20.395518,24.75,24.08,0,5.56,100,16.67,R
AL200800000197,2008,197,42.083396,20.277467,23.55,24.24,27.27,8.77,100,0,R
AL200800000198,2008,198,42.010803,20.539524,22.4,22.62,50,0,83.33,75,R
AL200800000199,2008,199,41.984124,20.541647,21.51,20.56,NaN,0,NaN,NaN,R
AL200800000200,2008,200,42.063956,20.44777,24.21,24.3,25,9.43,100,0,R
AL200800000201,2008,201,41.984456,20.295616,23.48,23.19,NaN,0,100,0,R
AL200800000202,2008,202,42.093811,20.452312,23.63,22.79,27.27,5.26,100,25,R
AL200800000204,2008,204,41.923197,20.375972,23.49,22.72,40,2.63,0,100,R
AL200800000205,2008,205,41.880513,20.347038,22.57,21.32,71.43,8.16,71.43,50,R
AL200800000206,2008,206,42.081051,20.408793,25.62,23.78,18.18,6.12,100,20,U
AL200800000208,2008,208,42.084383,20.416341,22.9,23.69,20,0,100,0,U
AL200800000210,2008,210,42.078462,20.428691,23.9,23.22,10,14.71,100,100,U
AL200800000211,2008,211,42.067514,20.427347,25.54,24.8,37.5,3.03,50,0,U
AL200800000214,2008,214,42.04782,20.414337,23.95,24.24,0,0,100,66.67,U
AL200800000216,2008,216,41.616301,19.729158,23.08,22.59,27.27,9.3,100,0,R
AL200800000217,2008,217,41.602316,19.700999,26.17,27.75,46.15,2.38,100,18.18,R
AL200800000218,2008,218,41.695412,19.688434,24.29,23.05,15.38,2.63,75,0,R
AL200800000219,2008,219,41.632828,19.705447,23.53,24.06,0,9.38,50,0,U
AL200800000220,2008,220,41.629129,19.71614,25.05,25.26,11.11,0,100,0,U
AL200800000223,2008,223,41.813078,19.683306,22.32,22.41,16.67,4.76,NaN,NaN,R
AL200800000224,2008,224,41.863875,19.649688,25.99,24.73,0,5.88,100,0,R
AL200800000225,2008,225,41.849643,19.700317,25.25,26.35,0,0,100,0,R
AL200800000226,2008,226,41.747209,19.618019,26.31,26.88,0,2.94,100,25,R
AL200800000227,2008,227,41.861759,19.718992,27.21,25.54,0,6.25,100,100,R
AL200800000228,2008,228,41.720592,19.701762,25.04,25.12,0,4.55,100,50,R
AL200800000229,2008,229,41.779898,19.647117,26.52,24.66,11.11,0,100,0,U
AL200800000230,2008,230,41.770388,19.657505,28.2,27.39,6.67,0,50,0,U
AL200800000231,2008,231,41.77627,19.651819,25.44,25.52,0,0,80,20,U
AL200800000232,2008,232,41.817023,19.577039,24.66,24.85,10,6.67,100,0,U
AL200800000234,2008,234,41.117537,20.399003,23.48,22.48,11.11,0,100,75,R
AL200800000235,2008,235,41.281688,20.330036,22.53,22.86,20,0,100,0,R
AL200800000236,2008,236,41.303783,20.142455,23.7,22.91,25,0,100,50,R
AL200800000241,2008,241,41.187636,20.350631,24.06,24.38,8.33,0,100,75,R
AL200800000242,2008,242,41.131348,20.281431,23.4,23.14,36.36,0,100,0,R
AL200800000243,2008,243,41.109337,20.430474,23.96,23.84,10,5.26,100,0,R
AL200800000244,2008,244,41.067197,20.449159,22.7,21.76,28.57,0,100,50,R
AL200800000245,2008,245,41.053018,20.463697,25.27,25.3,55.56,3.85,100,0,R
AL200800000246,2008,246,41.054724,20.434234,22.72,21.94,63.64,5.88,100,0,R
AL200800000247,2008,247,40.999778,20.428769,23.8,22.68,50,14.29,100,50,R
AL200800000248,2008,248,41.108251,20.58164,27.97,26.24,25,2,100,50,R
AL200800000250,2008,250,41.049113,20.575323,23.38,23.53,12.5,5.56,100,0,R
AL200800000251,2008,251,41.165193,20.299767,23.69,22.45,0,0,100,100,U
AL200800000252,2008,252,41.177155,20.317792,24.82,24.93,0,6.67,100,50,U
AL200800000253,2008,253,41.175759,20.301495,23.3,22.85,25,0,80,60,U
AL200800000257,2008,257,41.087272,20.550694,24.82,25.39,15.38,0,100,33.33,U
AL200800000258,2008,258,41.082292,20.541895,24.72,25.42,15.38,0,100,75,U
AL200800000259,2008,259,41.075201,20.569088,23.78,22.86,0,0,100,66.67,U
AL200800000260,2008,260,40.995284,19.752365,22.88,22.17,0,4,100,0,R
AL200800000261,2008,261,40.982879,19.565858,24.06,24.65,0,2.78,100,0,R
AL200800000263,2008,263,40.853147,19.834008,26.86,25.63,0,0,100,0,R
AL200800000264,2008,264,40.999215,19.600665,25.29,25.44,8.33,0,90.91,30,R
AL200800000265,2008,265,40.923574,19.589112,25.54,25.24,0,0,NaN,NaN,R
AL200800000266,2008,266,40.939416,19.708482,25.2,23.8,18.75,0,100,0,R
AL200800000268,2008,268,40.8483,19.68494,25.71,23.21,7.69,3.23,75,0,R
AL200800000269,2008,269,40.865754,19.529743,24.71,24.68,0,0,100,0,R
AL200800000270,2008,270,41.037636,19.51884,26.97,25.29,0,4.55,100,66.67,R
